Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Cosa sai fare?	**NoteMarketBot** ti consente di:\n\n*   effettuare il login su NoteMarket;\n*   visualizzare e scaricare i prodotti acquistati;\n*   pubblicare recensioni;\n*   revisionare i prodotti. Funzione per moderatori.\n\nSeleziona un'opzione dal menu per continuare...	Editorial		[]	False	[]	11
Cosa puoi fare?	**NoteMarketBot** ti consente di:\n\n*   effettuare il login su NoteMarket;\n*   visualizzare e scaricare i prodotti acquistati;\n*   pubblicare recensioni;\n*   revisionare i prodotti. Funzione per moderatori.\n\nSeleziona un'opzione dal menu per continuare...	Editorial		[]	False	[]	11
Cosa sa fare questo bot?	**NoteMarketBot** ti consente di:\n\n*   effettuare il login su NoteMarket;\n*   visualizzare e scaricare i prodotti acquistati;\n*   pubblicare recensioni;\n*   revisionare i prodotti. Funzione per moderatori.\n\nSeleziona un'opzione dal menu per continuare...	Editorial		[]	False	[]	11
Cosa fa questo bot?	**NoteMarketBot** ti consente di:\n\n*   effettuare il login su NoteMarket;\n*   visualizzare e scaricare i prodotti acquistati;\n*   pubblicare recensioni;\n*   revisionare i prodotti. Funzione per moderatori.\n\nSeleziona un'opzione dal menu per continuare...	Editorial		[]	False	[]	11
Ho bisogno di aiuto	**NoteMarketBot** ti consente di:\n\n*   effettuare il login su NoteMarket;\n*   visualizzare e scaricare i prodotti acquistati;\n*   pubblicare recensioni;\n*   revisionare i prodotti. Funzione per moderatori.\n\nSeleziona un'opzione dal menu per continuare...	Editorial		[]	False	[]	11
Aiuto	**NoteMarketBot** ti consente di:\n\n*   effettuare il login su NoteMarket;\n*   visualizzare e scaricare i prodotti acquistati;\n*   pubblicare recensioni;\n*   revisionare i prodotti. Funzione per moderatori.\n\nSeleziona un'opzione dal menu per continuare...	Editorial		[]	False	[]	11
Help	**NoteMarketBot** ti consente di:\n\n*   effettuare il login su NoteMarket;\n*   visualizzare e scaricare i prodotti acquistati;\n*   pubblicare recensioni;\n*   revisionare i prodotti. Funzione per moderatori.\n\nSeleziona un'opzione dal menu per continuare...	Editorial		[]	False	[]	11
Come si acquista?	Se vuoi effettuare un acquisto, segui questa procedura:\n\n*   accedi a NoteMarket;\n*   cerca appunti di tuo interesse;\n*   aggiungi al carrello;\n*   esegui il checkout in modo sicuro con Stripe!	Editorial		[]	False	[]	12
Come posso comprare?	Se vuoi effettuare un acquisto, segui questa procedura:\n\n*   accedi a NoteMarket;\n*   cerca appunti di tuo interesse;\n*   aggiungi al carrello;\n*   esegui il checkout in modo sicuro con Stripe!	Editorial		[]	False	[]	12
Come si compra?	Se vuoi effettuare un acquisto, segui questa procedura:\n\n*   accedi a NoteMarket;\n*   cerca appunti di tuo interesse;\n*   aggiungi al carrello;\n*   esegui il checkout in modo sicuro con Stripe!	Editorial		[]	False	[]	12
Acquistare	Se vuoi effettuare un acquisto, segui questa procedura:\n\n*   accedi a NoteMarket;\n*   cerca appunti di tuo interesse;\n*   aggiungi al carrello;\n*   esegui il checkout in modo sicuro con Stripe!	Editorial		[]	False	[]	12
Come si vendono gli appunti?	Se desideri mettere in vendita degli appunti, segui questa procedura:\n\n*   accedi a NoteMarket;\n*   compila il form presente nella tua home page con i dati richiesti;\n*   pubblica appunto;\n*   attendi che un nostro moderatore revisioni i tuoi appunti!	Editorial		[]	False	[]	13
Come si vende?	Se desideri mettere in vendita degli appunti, segui questa procedura:\n\n*   accedi a NoteMarket;\n*   compila il form presente nella tua home page con i dati richiesti;\n*   pubblica appunto;\n*   attendi che un nostro moderatore revisioni i tuoi appunti!	Editorial		[]	False	[]	13
Vendita	Se desideri mettere in vendita degli appunti, segui questa procedura:\n\n*   accedi a NoteMarket;\n*   compila il form presente nella tua home page con i dati richiesti;\n*   pubblica appunto;\n*   attendi che un nostro moderatore revisioni i tuoi appunti!	Editorial		[]	False	[]	13
Vendere	Se desideri mettere in vendita degli appunti, segui questa procedura:\n\n*   accedi a NoteMarket;\n*   compila il form presente nella tua home page con i dati richiesti;\n*   pubblica appunto;\n*   attendi che un nostro moderatore revisioni i tuoi appunti!	Editorial		[]	False	[]	13
Voglio vendere gli appunti	Se desideri mettere in vendita degli appunti, segui questa procedura:\n\n*   accedi a NoteMarket;\n*   compila il form presente nella tua home page con i dati richiesti;\n*   pubblica appunto;\n*   attendi che un nostro moderatore revisioni i tuoi appunti!	Editorial		[]	False	[]	13
